Team,Win,Draw,Loss,Total Points
FC Barcelona,234.0,43.0,27.0,745.0
Real Madrid CF,228.0,36.0,40.0,720.0
Celtic,218.0,50.0,36.0,704.0
Juventus,189.0,66.0,46.0,633.0
Manchester United,192.0,57.0,55.0,633.0
FC Bayern Munich,193.0,44.0,35.0,623.0
FC Basel,180.0,64.0,42.0,604.0
Ajax,181.0,59.0,32.0,602.0
Paris Saint-Germain,175.0,76.0,53.0,601.0
Chelsea,176.0,70.0,58.0,598.0
FC Porto,183.0,42.0,23.0,591.0
SL Benfica,185.0,36.0,27.0,591.0
Manchester City,175.0,61.0,68.0,586.0
Arsenal,170.0,73.0,61.0,583.0
PSV,178.0,47.0,47.0,581.0
Atlético Madrid,167.0,59.0,78.0,560.0
Roma,162.0,73.0,68.0,559.0
Milan,154.0,79.0,70.0,541.0
Olympique Lyonnais,153.0,80.0,71.0,539.0
Napoli,153.0,77.0,71.0,536.0
Inter,154.0,73.0,76.0,535.0
Borussia Dortmund,157.0,62.0,53.0,533.0
LOSC Lille,147.0,92.0,65.0,533.0
Tottenham Hotspur,151.0,74.0,79.0,527.0
Liverpool,150.0,76.0,78.0,526.0
Olympique de Marseille,143.0,90.0,71.0,519.0
FC Twente,144.0,71.0,57.0,503.0
Valencia CF,142.0,74.0,88.0,500.0
BSC Young Boys,142.0,69.0,75.0,495.0
Sporting CP,144.0,60.0,44.0,492.0
Sevilla FC,139.0,65.0,100.0,482.0
Feyenoord,139.0,63.0,70.0,480.0
Girondins de Bordeaux,126.0,99.0,79.0,477.0
Bayer 04 Leverkusen,137.0,66.0,69.0,477.0
AZ,140.0,53.0,79.0,473.0
Fiorentina,132.0,75.0,93.0,471.0
Everton,121.0,100.0,83.0,463.0
Legia Warszawa,137.0,50.0,53.0,461.0
Lazio,131.0,65.0,105.0,458.0
RSC Anderlecht,136.0,49.0,27.0,457.0
AS Saint-Étienne,121.0,82.0,101.0,445.0
FC Schalke 04,127.0,57.0,88.0,438.0
Athletic Club de Bilbao,122.0,71.0,111.0,437.0
Aberdeen,120.0,75.0,109.0,435.0
SC Braga,126.0,56.0,66.0,434.0
Lech Poznań,124.0,60.0,56.0,432.0
FC Zürich,120.0,69.0,97.0,429.0
Motherwell,122.0,62.0,120.0,428.0
Dundee United,115.0,83.0,106.0,428.0
Stade Rennais FC,111.0,91.0,102.0,424.0
Udinese,115.0,76.0,111.0,421.0
VfL Wolfsburg,117.0,67.0,88.0,418.0
Grasshopper Club Zürich,115.0,67.0,104.0,412.0
Club Brugge KV,123.0,40.0,49.0,409.0
Villarreal CF,112.0,71.0,83.0,407.0
OGC Nice,106.0,81.0,117.0,399.0
Toulouse FC,103.0,90.0,111.0,399.0
Montpellier Hérault SC,110.0,67.0,89.0,397.0
Genoa,106.0,79.0,117.0,397.0
Málaga CF,106.0,78.0,120.0,396.0
SC Heerenveen,107.0,72.0,93.0,393.0
